Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path,,,,,
48,45,6,5,43,40,1,Train/1/00014_00000_00000.png,,,,,
48,46,6,6,43,41,1,Train/1/00014_00000_00001.png,,,,,
49,46,5,6,44,41,1,Train/1/00014_00000_00002.png,,,,,
51,49,5,6,46,44,1,Train/1/00014_00000_00003.png,,,,,
50,48,5,5,45,43,1,Train/1/00014_00000_00004.png,,,,,
52,51,6,6,47,46,1,Train/1/00014_00000_00005.png,,,,,
54,52,6,5,49,47,1,Train/1/00014_00000_00006.png,,,,,
54,54,5,5,49,49,1,Train/1/00014_00000_00007.png,,,,,
56,56,6,6,51,51,1,Train/1/00014_00000_00008.png,,,,,
57,56,6,5,52,51,1,Train/1/00014_00000_00009.png,,,,,
59,58,6,5,54,53,1,Train/1/00014_00000_00010.png,,,,,
60,60,6,6,55,55,1,Train/1/00014_00000_00011.png,,,,,
63,63,6,6,58,58,1,Train/1/00014_00000_00012.png,,,,,
64,65,5,6,59,60,1,Train/1/00014_00000_00013.png,,,,,
69,68,7,6,63,62,1,Train/1/00014_00000_00014.png,,,,,
72,71,7,6,66,65,1,Train/1/00014_00000_00015.png,,,,,
73,73,7,7,67,67,1,Train/1/00014_00000_00016.png,,,,,
74,76,6,7,68,70,1,Train/1/00014_00000_00017.png,,,,,
81,82,7,8,74,75,1,Train/1/00014_00000_00018.png,,,,,
85,84,8,7,78,77,1,Train/1/00014_00000_00019.png,,,,,
88,89,7,8,81,82,1,Train/1/00014_00000_00020.png,,,,,
96,96,8,8,88,88,1,Train/1/00014_00000_00021.png,,,,,
100,99,8,8,92,91,1,Train/1/00014_00000_00022.png,,,,,
109,108,10,10,100,99,1,Train/1/00014_00000_00023.png,,,,,
117,117,10,10,107,107,1,Train/1/00014_00000_00024.png,,,,,
124,123,11,11,114,113,1,Train/1/00014_00000_00025.png,,,,,
131,131,11,12,120,120,1,Train/1/00014_00000_00026.png,,,,,
144,143,12,13,132,131,1,Train/1/00014_00000_00027.png,,,,,
164,159,15,14,150,146,1,Train/1/00014_00000_00028.png,,,,,
172,171,14,15,158,157,1,Train/1/00014_00000_00029.png,,,,,
30,30,5,5,25,25,1,Train/1/00014_00001_00000.png,,,,,
32,31,6,5,27,26,1,Train/1/00014_00001_00001.png,,,,,
33,34,5,6,28,29,1,Train/1/00014_00001_00002.png,,,,,
33,34,5,5,28,29,1,Train/1/00014_00001_00003.png,,,,,
36,36,6,6,30,30,1,Train/1/00014_00001_00004.png,,,,,
37,37,6,6,32,32,1,Train/1/00014_00001_00005.png,,,,,
37,37,6,6,32,32,1,Train/1/00014_00001_00006.png,,,,,
38,38,6,5,33,32,1,Train/1/00014_00001_00007.png,,,,,
39,40,5,5,34,34,1,Train/1/00014_00001_00008.png,,,,,
41,42,6,6,36,37,1,Train/1/00014_00001_00009.png,,,,,
43,43,6,6,38,38,1,Train/1/00014_00001_00010.png,,,,,
46,44,6,5,40,39,1,Train/1/00014_00001_00011.png,,,,,
48,48,5,6,42,43,1,Train/1/00014_00001_00012.png,,,,,
51,51,6,6,46,46,1,Train/1/00014_00001_00013.png,,,,,
51,51,5,5,46,46,1,Train/1/00014_00001_00014.png,,,,,
55,55,5,5,50,50,1,Train/1/00014_00001_00015.png,,,,,
60,59,6,6,54,54,1,Train/1/00014_00001_00016.png,,,,,
62,63,5,5,57,58,1,Train/1/00014_00001_00017.png,,,,,
68,70,6,6,62,63,1,Train/1/00014_00001_00018.png,,,,,
73,73,7,6,67,67,1,Train/1/00014_00001_00019.png,,,,,
80,81,7,7,72,73,1,Train/1/00014_00001_00020.png,,,,,
87,87,8,7,80,80,1,Train/1/00014_00001_00021.png,,,,,
96,99,9,9,88,91,1,Train/1/00014_00001_00022.png,,,,,
108,110,9,10,98,101,1,Train/1/00014_00001_00023.png,,,,,
120,119,10,10,110,109,1,Train/1/00014_00001_00024.png,,,,,
132,131,12,11,121,119,1,Train/1/00014_00001_00025.png,,,,,
144,144,12,13,132,132,1,Train/1/00014_00001_00026.png,,,,,
159,157,14,14,146,144,1,Train/1/00014_00001_00027.png,,,,,
178,171,16,14,163,157,1,Train/1/00014_00001_00028.png,,,,,
193,191,16,17,177,174,1,Train/1/00014_00001_00029.png,,,,,
31,32,5,6,26,27,1,Train/1/00014_00002_00000.png,,,,,
31,32,5,5,26,27,1,Train/1/00014_00002_00001.png,,,,,
33,33,6,5,27,27,1,Train/1/00014_00002_00002.png,,,,,
34,34,6,5,29,29,1,Train/1/00014_00002_00003.png,,,,,
34,35,5,5,29,29,1,Train/1/00014_00002_00004.png,,,,,
37,36,6,6,31,31,1,Train/1/00014_00002_00005.png,,,,,
36,36,5,5,31,31,1,Train/1/00014_00002_00006.png,,,,,
38,37,6,5,32,31,1,Train/1/00014_00002_00007.png,,,,,
38,39,5,6,32,33,1,Train/1/00014_00002_00008.png,,,,,
40,39,6,5,35,34,1,Train/1/00014_00002_00009.png,,,,,
40,41,5,6,35,36,1,Train/1/00014_00002_00010.png,,,,,
41,41,5,5,36,36,1,Train/1/00014_00002_00011.png,,,,,
42,42,5,5,36,36,1,Train/1/00014_00002_00012.png,,,,,
43,44,5,6,37,38,1,Train/1/00014_00002_00013.png,,,,,
44,44,6,6,39,39,1,Train/1/00014_00002_00014.png,,,,,
45,46,6,6,40,41,1,Train/1/00014_00002_00015.png,,,,,
46,46,5,5,41,41,1,Train/1/00014_00002_00016.png,,,,,
